scope,lo,hi,cover,shift,count,sum,local_mean,residual,residual_rate,z
cumulative,0,1000000,13,36,16441,-1535,-0.09090909090909091,-40.36363636363626,-0.0024550596900210606,-0.3161027196717183
cumulative,0,1000000,17,36,16440,-1070,-0.06666666666666667,26,0.0015815085158150852,0.20323087699441922
cumulative,0,1000000,19,36,16441,-971,-0.058823529411764705,-3.882352941176464,-0.00023613849164749493,-0.030330779862103183
cumulative,0,1000000,5,46,8599,-2813,-0.3333333333333333,53.33333333333303,0.00620227158196686,0.6100297492073723
cumulative,0,1000000,7,46,8598,-1648,-0.2,71.60000000000014,0.00832751802744826,0.788095205467282
cumulative,0,1000000,11,46,8599,-1015,-0.1111111111111111,-59.55555555555566,-0.006925869933196378,-0.6462429550654633
cumulative,0,1000000,13,46,8598,-776,-0.09090909090909091,5.636363636363626,0.0006555435725010033,0.06103828828733127
cumulative,0,1000000,17,46,8599,-659,-0.06666666666666667,-85.73333333333335,-0.009970151568011787,-0.9266014702042009
cumulative,0,1000000,19,46,8599,-481,-0.058823529411764705,24.823529411764696,0.002886792581900767,0.2681589105890755
cumulative,0,1000000,5,48,16500,-5472,-0.3333333333333333,28,0.001696969696969697,0.23120239067653575
cumulative,0,1000000,7,48,16501,-3349,-0.2,-48.79999999999973,-0.0029573965214229276,-0.3877297037529254
cumulative,0,1000000,11,48,16500,-1704,-0.1111111111111111,129.33333333333326,0.007838383838383834,1.013131957662161
cumulative,0,1000000,13,48,16500,-1528,-0.09090909090909091,-28,-0.001696969696969697,-0.21888606879176004
cumulative,0,1000000,17,48,16501,-1181,-0.06666666666666667,-80.9333333333334,-0.004904753247277947,-0.6314508401608733
cumulative,0,1000000,19,48,16500,-770,-0.058823529411764705,200.58823529411768,0.012156862745098041,1.5642860162837042
cumulative,0,1000000,5,54,16443,-5555,-0.3333333333333333,-74,-0.0045003953049930065,-0.6120930559487403
cumulative,0,1000000,7,54,16443,-3253,-0.2,35.600000000000364,0.002165055038618279,0.28335041500251124
cumulative,0,1000000,11,54,16444,-1920,-0.1111111111111111,-92.88888888888891,-0.005648801318954568,-0.7288825447544187
cumulative,0,1000000,13,54,16443,-1511,-0.09090909090909091,-16.181818181818244,-0.000984115926644666,-0.12671815787967747
cumulative,0,1000000,17,54,16443,-1047,-0.06666666666666667,49.200000000000045,0.00299215471629265,0.38454026766061644
cumulative,0,1000000,19,54,16443,-1093,-0.058823529411764705,-125.76470588235293,-0.007648525566037397,-0.9824736889027078
cumulative,0,1000000,5,64,8261,-2805,-0.3333333333333333,-51.333333333333485,-0.006213936972925008,-0.5990449567323143
cumulative,0,1000000,7,64,8260,-1692,-0.2,-40,-0.004842615012106538,-0.4491944183807709
cumulative,0,1000000,11,64,8261,-935,-0.1111111111111111,-17.1111111111112,-0.0020713123243083402,-0.18943464841111352
cumulative,0,1000000,13,64,8261,-725,-0.09090909090909091,26,0.003147318726546423,0.2872493793685643
cumulative,0,1000000,17,64,8261,-573,-0.06666666666666667,-22.26666666666665,-0.002695396037606422,-0.24553089480835932
cumulative,0,1000000,19,64,8260,-542,-0.058823529411764705,-56.117647058823536,-0.006793904002278878,-0.618531906313918
