family,scale,X,H,signed,shiftwiseAbsolute,cancellationRatio,zeroModeContribution,centeredSigned,zeroModeFraction,zeroModeIdentityError
lambda-minus-one,one-third,32768,32,-22446.032997899383,1023927.2976797833,0.021921510490795625,1.030674029188309,-22447.063672012373,-0.00004591787017709387,8.380084182135761e-8
local-z11,one-third,32768,32,-7932.69091796875,1040645.5629882812,0.007622855658164259,-0.0000638328492641449,-7932.690854238728,8.046809074529022e-9,1.0282747098244727e-7
lambda-minus-local-correlation,one-third,32768,32,-14513.342079930631,32706.707484002378,0.44374206994175275,1.0307378620375731,-14514.372817773638,-0.00007102002118884114,-1.9032086129300296e-8
divisor-minus-log,five-twelfths,32768,76,3224886.246558181,69549534.00998874,0.04636819343886648,3319551.4508861694,-94665.20432791756,1.0293545871359095,-7.088237907737494e-8
lambda-minus-one,five-twelfths,32768,76,-22143.44079897063,2463916.3257444333,0.008987091228546627,1.3863259062940034,-22144.827124897216,-0.00006260661650914021,2.0292645785957575e-8
local-z11,five-twelfths,32768,76,-5232.964638157904,2485225.721217106,0.002105629518269725,0.0006425772842607998,-5232.965281073819,-1.2279411933633824e-7,3.386303433217108e-7
lambda-minus-local-correlation,five-twelfths,32768,76,-16910.476160812734,73264.15263831224,0.23081514699686417,1.385683329009744,-16911.861843823364,-0.00008194230108202622,-3.1837771530263126e-7
divisor-minus-log,half-over-two,32768,91,3895588.975394418,83475085.47595179,0.04666768477304156,3974594.0796575835,-79005.10426307154,1.020280657113002,-9.396171662956476e-8
lambda-minus-one,half-over-two,32768,91,-21254.51162693201,2956337.9097694224,0.007189473015481421,1.057404233306027,-21255.569031249284,-0.00004974963677670059,8.396818884648383e-8
local-z11,half-over-two,32768,91,-3861.1838942307313,2978529.776270605,0.0012963388598603472,0.001104886715228741,-3861.1849995549337,-2.861523163606972e-7,4.374869604362175e-7
lambda-minus-local-correlation,half-over-two,32768,91,-17393.327732701266,85635.19693144856,0.20310956657955395,1.0562993465907982,-17394.38403169435,-0.00006073014680249171,-3.5350603866390884e-7
