feature,key,L,eta,split,distinct_h,cell_count,mean_z,std_z
bigomega,0,4096,0.6595362381022669,train,1,1,-0.09985942906574395,0
bigomega,0,8192,0.7144975912774558,train,1,1,-0.16390611134082916,0
bigomega,1,256,0.4396908254015113,train,54,54,0.000801889773732777,0.04044595081203933
bigomega,1,256,0.4396908254015113,holdout,43,43,0.005174021747757759,0.04123010802077736
bigomega,1,512,0.4946521785767002,train,54,54,-0.0024874087071654004,0.04085813129856919
bigomega,1,512,0.4946521785767002,holdout,43,43,-0.0006535572515439099,0.03679953121918498
bigomega,1,1024,0.5496135317518891,train,54,54,-0.0038388666920344985,0.05779552703793063
bigomega,1,1024,0.5496135317518891,holdout,43,43,-0.0004405264415418928,0.05203374138680946
bigomega,1,2048,0.604574884927078,train,54,54,-0.005754186053470149,0.08218964468760664
bigomega,1,2048,0.604574884927078,holdout,43,43,-0.0005368428371511398,0.07327048077713955
bigomega,1,4096,0.6595362381022669,train,54,54,-0.008840750352428548,0.11664934947807806
bigomega,1,4096,0.6595362381022669,holdout,43,43,0.00022632171883801166,0.1037076290659063
bigomega,1,8192,0.7144975912774558,train,54,54,-0.013337221593652193,0.16559233549205896
bigomega,1,8192,0.7144975912774558,holdout,43,43,0.0009466316302604089,0.14731212067754956
bigomega,2,256,0.4396908254015113,train,82,82,-0.0026351660700907353,0.033893167891508286
bigomega,2,256,0.4396908254015113,holdout,75,75,-0.0012457337883959039,0.04328331465723421
bigomega,2,512,0.4946521785767002,train,82,82,-0.0005361894760404586,0.0384848272295885
bigomega,2,512,0.4946521785767002,holdout,75,75,-0.0004109680437665346,0.045449186978854215
bigomega,2,1024,0.5496135317518891,train,82,82,-0.0006329873872368869,0.054452202502296376
bigomega,2,1024,0.5496135317518891,holdout,75,75,-0.00033818493150685125,0.06385962415111766
bigomega,2,2048,0.604574884927078,train,82,82,-0.0006769328024780163,0.07732069446563371
bigomega,2,2048,0.604574884927078,holdout,75,75,-0.0004282734370588625,0.08985763661515649
bigomega,2,4096,0.6595362381022669,train,82,82,-0.0005802177398936652,0.10995891831450343
bigomega,2,4096,0.6595362381022669,holdout,75,75,-0.0010950115340253727,0.12769827023679994
bigomega,2,8192,0.7144975912774558,train,82,82,-0.001955360536336341,0.15806742134278573
bigomega,2,8192,0.7144975912774558,holdout,75,75,-0.0028217075427612267,0.18246127098668813
bigomega,3,256,0.4396908254015113,train,60,60,0.002584613196814562,0.04070182282107495
bigomega,3,256,0.4396908254015113,holdout,65,65,0.0007121291677605665,0.03676298696179222
bigomega,3,512,0.4946521785767002,train,60,60,-0.0011558476230934004,0.036361078335246766
bigomega,3,512,0.4946521785767002,holdout,65,65,-0.0006020402903593564,0.03553725286115019
bigomega,3,1024,0.5496135317518891,train,60,60,-0.0015535816210045684,0.05108096999931306
bigomega,3,1024,0.5496135317518891,holdout,65,65,-0.0006865779768177036,0.050149012190338925
bigomega,3,2048,0.604574884927078,train,60,60,-0.0017338493166981091,0.07233940903277343
bigomega,3,2048,0.604574884927078,holdout,65,65,-0.0012254741829643909,0.0707046610878949
bigomega,3,4096,0.6595362381022669,train,60,60,-0.002095047577854667,0.10336309444470435
bigomega,3,4096,0.6595362381022669,holdout,65,65,-0.0016103273888740987,0.10046967689698894
bigomega,3,8192,0.7144975912774558,train,60,60,-0.0023260091486399554,0.14779940221251708
bigomega,3,8192,0.7144975912774558,holdout,65,65,-0.0005779238115466994,0.14187247787057092
bigomega,4,256,0.4396908254015113,train,34,34,0.0019260690624372612,0.04608087514849563
bigomega,4,256,0.4396908254015113,holdout,37,37,-0.007759892998800849,0.038712861882705084
bigomega,4,512,0.4946521785767002,train,34,34,0.0018264258865489554,0.04493457959491465
bigomega,4,512,0.4946521785767002,holdout,37,37,0.002931985844836797,0.038825283163509396
bigomega,4,1024,0.5496135317518891,train,34,34,0.002215954875100727,0.06398839794279643
bigomega,4,1024,0.5496135317518891,holdout,37,37,0.003982899851906703,0.05543349955950836
bigomega,4,2048,0.604574884927078,train,34,34,0.004098256972272713,0.09075035248458861
bigomega,4,2048,0.604574884927078,holdout,37,37,0.005063017870539641,0.07912449355438853
bigomega,4,4096,0.6595362381022669,train,34,34,0.006864759312029309,0.1281137767397771
bigomega,4,4096,0.6595362381022669,holdout,37,37,0.0071366782006920424,0.1120705437948395
bigomega,4,8192,0.7144975912774558,train,34,34,0.011867207460315967,0.18181648993383057
